Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2007,anf.27.3a46,benthic,2019,0.98,NA,50,NA,16430,14564,490
2008,anf.27.3a46,benthic,2019,1.028,NA,54,NA,16918,15878,903
2009,anf.27.3a46,benthic,2019,1.329,NA,38,NA,16008,15372,38
2010,anf.27.3a46,benthic,2019,0.947,NA,42,NA,13833,12136,69
2011,anf.27.3a46,benthic,2019,1.282,NA,33,NA,13679,12902,95
2012,anf.27.3a46,benthic,2019,1.06,NA,36,NA,12266,11143,590
2013,anf.27.3a46,benthic,2019,1.02,NA,38,NA,12141,11375,687
2014,anf.27.3a46,benthic,2019,0.956,NA,53,NA,13286,14406,448
2015,anf.27.3a46,benthic,2019,0.775,NA,68,NA,16162,15663,395
2016,anf.27.3a46,benthic,2019,0.858,NA,78,NA,19553,19412,981
2017,anf.27.3a46,benthic,2019,0.839,NA,88,NA,22023,21719,756
2018,anf.27.3a46,benthic,2019,0.925,NA,78,NA,21350,21572,326
2003,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,4341,288,4053
2004,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,4097,722,3375
2005,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,3064,626,2438
2006,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,1439,40,1399
2007,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,2119,36,2083
2008,aru.27.6b7-1012,pelagic,2019,NA,NA,NA,NA,3138,20,3118
2009,aru.27.6b7-1012,pelagic,2019,NA,NA,72.95,NA,4205,22,4183
2010,aru.27.6b7-1012,pelagic,2019,NA,NA,89.97,NA,2054,25,2029
2011,aru.27.6b7-1012,pelagic,2019,NA,NA,50.32,NA,2070,14,2056
2012,aru.27.6b7-1012,pelagic,2019,NA,NA,83.02,NA,239,36,203
2013,aru.27.6b7-1012,pelagic,2019,NA,NA,121.5,NA,134,1,133
2014,aru.27.6b7-1012,pelagic,2019,NA,NA,59.57,NA,420,22,398
2015,aru.27.6b7-1012,pelagic,2019,NA,NA,72.56,NA,34,5,29
2016,aru.27.6b7-1012,pelagic,2019,NA,NA,172.94,NA,240,0,240
2017,aru.27.6b7-1012,pelagic,2019,NA,NA,129.63,NA,159,8,151
2018,aru.27.6b7-1012,pelagic,2019,NA,NA,98.72,NA,140,36,104
2001,boc.27.6-8,pelagic,2019,NA,NA,297349.996,NA,120,120,0
2002,boc.27.6-8,pelagic,2019,NA,NA,260000,NA,91,91,0
2003,boc.27.6-8,pelagic,2019,NA,NA,236349.995,NA,11387,458,10929
2004,boc.27.6-8,pelagic,2019,NA,NA,323400,NA,5151,675,4476
2005,boc.27.6-8,pelagic,2019,NA,NA,313899.984,NA,5960,165,5795
2006,boc.27.6-8,pelagic,2019,NA,NA,363849.997,NA,7138,2772,4366
2007,boc.27.6-8,pelagic,2019,NA,NA,310249.996,NA,21576,18387,3189
2008,boc.27.6-8,pelagic,2019,NA,NA,377300,NA,34750,24682,10068
2009,boc.27.6-8,pelagic,2019,NA,NA,382600,NA,90370,83688,6682
2010,boc.27.6-8,pelagic,2019,NA,NA,587549.998,NA,144047,137503,6544
2011,boc.27.6-8,pelagic,2019,NA,NA,536149.998,NA,37097,31295,5802
