FisheriesGuild,StockKeyLabel,Year,Metric,Value
pelagic,her.27.1-24a514a,1988,F/F[MSY],0.267515923566879
pelagic,her.27.1-24a514a,1989,F/F[MSY],0.21656050955414
pelagic,her.27.1-24a514a,1990,F/F[MSY],0.197452229299363
pelagic,her.27.1-24a514a,1991,F/F[MSY],0.197452229299363
pelagic,her.27.1-24a514a,1992,F/F[MSY],0.24203821656051
pelagic,her.27.1-24a514a,1993,F/F[MSY],0.484076433121019
pelagic,her.27.1-24a514a,1994,F/F[MSY],0.796178343949045
pelagic,her.27.1-24a514a,1995,F/F[MSY],1.36942675159236
pelagic,her.27.1-24a514a,1996,F/F[MSY],1.19745222929936
pelagic,her.27.1-24a514a,1997,F/F[MSY],1.24203821656051
pelagic,her.27.1-24a514a,1998,F/F[MSY],1.22292993630573
pelagic,her.27.1-24a514a,1999,F/F[MSY],1.36305732484076
pelagic,her.27.1-24a514a,2000,F/F[MSY],1.63694267515924
pelagic,her.27.1-24a514a,2001,F/F[MSY],1.29299363057325
pelagic,her.27.1-24a514a,2002,F/F[MSY],1.43949044585987
pelagic,her.27.1-24a514a,2003,F/F[MSY],0.961783439490446
pelagic,her.27.1-24a514a,2004,F/F[MSY],0.808917197452229
pelagic,her.27.1-24a514a,2005,F/F[MSY],1.09554140127389
pelagic,her.27.1-24a514a,2006,F/F[MSY],1.11464968152866
pelagic,her.27.1-24a514a,2007,F/F[MSY],0.974522292993631
pelagic,her.27.1-24a514a,2008,F/F[MSY],1.27388535031847
pelagic,her.27.1-24a514a,2009,F/F[MSY],1.31847133757962
pelagic,her.27.1-24a514a,2010,F/F[MSY],1.38216560509554
pelagic,her.27.1-24a514a,2011,F/F[MSY],1.03821656050955
pelagic,her.27.1-24a514a,2012,F/F[MSY],0.917197452229299
pelagic,her.27.1-24a514a,2013,F/F[MSY],0.796178343949045
pelagic,her.27.1-24a514a,2014,F/F[MSY],0.554140127388535
pelagic,her.27.1-24a514a,2015,F/F[MSY],0.452229299363057
pelagic,her.27.1-24a514a,2016,F/F[MSY],0.585987261146497
pelagic,her.27.1-24a514a,2017,F/F[MSY],1.10828025477707
pelagic,her.27.1-24a514a,1988,SSB/MSY~B[trigger],0.662060301507538
pelagic,her.27.1-24a514a,1989,SSB/MSY~B[trigger],1.02386934673367
pelagic,her.27.1-24a514a,1990,SSB/MSY~B[trigger],1.10804020100503
pelagic,her.27.1-24a514a,1991,SSB/MSY~B[trigger],1.0373743718593
pelagic,her.27.1-24a514a,1992,SSB/MSY~B[trigger],1.04616834170854
pelagic,her.27.1-24a514a,1993,SSB/MSY~B[trigger],1.03706030150754
pelagic,her.27.1-24a514a,1994,SSB/MSY~B[trigger],1.07757537688442
pelagic,her.27.1-24a514a,1995,SSB/MSY~B[trigger],1.10175879396985
pelagic,her.27.1-24a514a,1996,SSB/MSY~B[trigger],1.28643216080402
pelagic,her.27.1-24a514a,1997,SSB/MSY~B[trigger],1.68184673366834
pelagic,her.27.1-24a514a,1998,SSB/MSY~B[trigger],1.85552763819095
pelagic,her.27.1-24a514a,1999,SSB/MSY~B[trigger],1.81218592964824
pelagic,her.27.1-24a514a,2000,SSB/MSY~B[trigger],1.50722361809045
pelagic,her.27.1-24a514a,2001,SSB/MSY~B[trigger],1.25188442211055
pelagic,her.27.1-24a514a,2002,SSB/MSY~B[trigger],1.10804020100503
pelagic,her.27.1-24a514a,2003,SSB/MSY~B[trigger],1.31030150753769
pelagic,her.27.1-24a514a,2004,SSB/MSY~B[trigger],1.65515075376884
pelagic,her.27.1-24a514a,2005,SSB/MSY~B[trigger],1.69629396984925
pelagic,her.27.1-24a514a,2006,SSB/MSY~B[trigger],1.68498743718593
pelagic,her.27.1-24a514a,2007,SSB/MSY~B[trigger],2.16739949748744
pelagic,her.27.1-24a514a,2008,SSB/MSY~B[trigger],2.19440954773869
pelagic,her.27.1-24a514a,2009,SSB/MSY~B[trigger],2.18467336683417
pelagic,her.27.1-24a514a,2010,SSB/MSY~B[trigger],1.93121859296482
pelagic,her.27.1-24a514a,2011,SSB/MSY~B[trigger],1.81344221105528
pelagic,her.27.1-24a514a,2012,SSB/MSY~B[trigger],1.74120603015075
pelagic,her.27.1-24a514a,2013,SSB/MSY~B[trigger],1.61997487437186
pelagic,her.27.1-24a514a,2014,SSB/MSY~B[trigger],1.5464824120603
pelagic,her.27.1-24a514a,2015,SSB/MSY~B[trigger],1.44943467336683
pelagic,her.27.1-24a514a,2016,SSB/MSY~B[trigger],1.36180904522613
pelagic,her.27.1-24a514a,2017,SSB/MSY~B[trigger],1.33008793969849
pelagic,her.27.1-24a514a,2018,SSB/MSY~B[trigger],1.20163316582915
pelagic,her.27.6a7bc,1957,F/F[MSY],0.86875
pelagic,her.27.6a7bc,1958,F/F[MSY],1.1625
pelagic,her.27.6a7bc,1959,F/F[MSY],1.15625
pelagic,her.27.6a7bc,1960,F/F[MSY],0.8625
pelagic,her.27.6a7bc,1961,F/F[MSY],0.63125
pelagic,her.27.6a7bc,1962,F/F[MSY],0.85625
pelagic,her.27.6a7bc,1963,F/F[MSY],0.65625
pelagic,her.27.6a7bc,1964,F/F[MSY],0.6375
pelagic,her.27.6a7bc,1965,F/F[MSY],0.7
pelagic,her.27.6a7bc,1966,F/F[MSY],0.98125
pelagic,her.27.6a7bc,1967,F/F[MSY],0.91875
pelagic,her.27.6a7bc,1968,F/F[MSY],0.75625
pelagic,her.27.6a7bc,1969,F/F[MSY],1.0625
pelagic,her.27.6a7bc,1970,F/F[MSY],1.5125
pelagic,her.27.6a7bc,1971,F/F[MSY],2.4875
pelagic,her.27.6a7bc,1972,F/F[MSY],1.725
pelagic,her.27.6a7bc,1973,F/F[MSY],2.275
pelagic,her.27.6a7bc,1974,F/F[MSY],3.04375
pelagic,her.27.6a7bc,1975,F/F[MSY],3
pelagic,her.27.6a7bc,1976,F/F[MSY],2.975
pelagic,her.27.6a7bc,1977,F/F[MSY],1.8125
pelagic,her.27.6a7bc,1978,F/F[MSY],1.25
