FisheriesGuild,StockKeyLabel,Year,Metric,Value
pelagic,her.27.irls,1958,F/F[MSY],0.461538461538462
pelagic,her.27.irls,1959,F/F[MSY],0.4
pelagic,her.27.irls,1960,F/F[MSY],0.453846153846154
pelagic,her.27.irls,1961,F/F[MSY],0.434615384615385
pelagic,her.27.irls,1962,F/F[MSY],0.703846153846154
pelagic,her.27.irls,1963,F/F[MSY],0.561538461538461
pelagic,her.27.irls,1964,F/F[MSY],0.353846153846154
pelagic,her.27.irls,1965,F/F[MSY],0.515384615384615
pelagic,her.27.irls,1966,F/F[MSY],0.742307692307692
pelagic,her.27.irls,1967,F/F[MSY],0.842307692307692
pelagic,her.27.irls,1968,F/F[MSY],0.911538461538461
pelagic,her.27.irls,1969,F/F[MSY],1.36538461538462
pelagic,her.27.irls,1970,F/F[MSY],1.25
pelagic,her.27.irls,1971,F/F[MSY],1.71538461538462
pelagic,her.27.irls,1972,F/F[MSY],2.11538461538462
pelagic,her.27.irls,1973,F/F[MSY],1.96538461538462
pelagic,her.27.irls,1974,F/F[MSY],1.86923076923077
pelagic,her.27.irls,1975,F/F[MSY],1.94615384615385
pelagic,her.27.irls,1976,F/F[MSY],1.45384615384615
pelagic,her.27.irls,1977,F/F[MSY],1.08846153846154
pelagic,her.27.irls,1978,F/F[MSY],1.00769230769231
pelagic,her.27.irls,1979,F/F[MSY],1.60384615384615
pelagic,her.27.irls,1980,F/F[MSY],2.05384615384615
pelagic,her.27.irls,1981,F/F[MSY],3.15769230769231
pelagic,her.27.irls,1982,F/F[MSY],1.71538461538462
pelagic,her.27.irls,1983,F/F[MSY],2.08461538461538
pelagic,her.27.irls,1984,F/F[MSY],1.76923076923077
pelagic,her.27.irls,1985,F/F[MSY],1.19615384615385
pelagic,her.27.irls,1986,F/F[MSY],1.36923076923077
pelagic,her.27.irls,1987,F/F[MSY],1.45384615384615
pelagic,her.27.irls,1988,F/F[MSY],0.865384615384615
pelagic,her.27.irls,1989,F/F[MSY],1.07307692307692
pelagic,her.27.irls,1990,F/F[MSY],0.930769230769231
pelagic,her.27.irls,1991,F/F[MSY],1.43846153846154
pelagic,her.27.irls,1992,F/F[MSY],1.81923076923077
pelagic,her.27.irls,1993,F/F[MSY],1.21923076923077
pelagic,her.27.irls,1994,F/F[MSY],1.21153846153846
pelagic,her.27.irls,1995,F/F[MSY],1.45769230769231
pelagic,her.27.irls,1996,F/F[MSY],1.16153846153846
pelagic,her.27.irls,1997,F/F[MSY],1.53846153846154
pelagic,her.27.irls,1998,F/F[MSY],1.67307692307692
pelagic,her.27.irls,1999,F/F[MSY],2.33076923076923
pelagic,her.27.irls,2000,F/F[MSY],2.32692307692308
pelagic,her.27.irls,2001,F/F[MSY],1.93076923076923
pelagic,her.27.irls,2002,F/F[MSY],0.75
pelagic,her.27.irls,2003,F/F[MSY],1.09230769230769
pelagic,her.27.irls,2004,F/F[MSY],1.38076923076923
pelagic,her.27.irls,2005,F/F[MSY],1.05384615384615
pelagic,her.27.irls,2006,F/F[MSY],0.453846153846154
