StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
aru.27.5b6a,pelagic,NA,NA,16033,187,NA,NA,NA,NA,NA,GREY,1555069
aru.27.6b7-1012,pelagic,NA,140,36,104,NA,NA,NA,NA,NA,GREY,1555069
boc.27.6-8,pelagic,NA,19315,18031,1241,NA,0.609,NA,1.958,NA,GREY,1555069
bsf.27.nea,pelagic,NA,5,NA,NA,NA,NA,NA,NA,NA,GREY,1555069
cap.27.2a514,pelagic,NA,286500,286500,NA,NA,NA,NA,352000,NA,GREY,1555069
her.27.1-24a514a,pelagic,1.10828025477707,721566,721566,NA,0.157,0.174,1.20163316582915,3826000,3184000,RED,1555069
her.27.6a7bc,pelagic,0.38125,6424,6424,NA,0.16,0.061,0.223207317073171,91515,410000,RED,1555069
her.27.irls,pelagic,1.58076923076923,10767,10767,NA,0.26,0.411,0.632481481481482,34154,54000,RED,1555069
her.27.nirs,pelagic,0.556390977443609,3896,3896,NA,0.266,0.148,1.90085368945989,22489,11831,GREEN,1555069
hom.27.2a4a5b6a7a-ce-k8,pelagic,0.62037037037037,82961,82961,NA,0.108,0.067,0.991784656867639,904098,911587,RED,1555069
mac.27.nea,pelagic,1.24782608695652,1155944,NA,NA,0.23,0.287,1.6745984,4186496,2500000,RED,1555069
nop.27.6a,pelagic,NA,NA,13,NA,NA,NA,NA,NA,NA,GREY,1555069
spr.27.67a-cf-k,pelagic,NA,NA,6882,NA,NA,NA,NA,NA,NA,GREY,1555069
spr.27.7de,pelagic,NA,NA,2733,NA,NA,0.079,NA,NA,NA,GREY,1555069
whb.27.1-91214,pelagic,1.46875,1555069,1555069,NA,0.32,0.47,2.40987822222222,5422226,2250000,RED,1555069
