type_var,YEAR,typeTotal
atlantic herring,1950,8.02
atlantic herring,1951,8.059
atlantic herring,1952,6.788
atlantic herring,1953,7.468
atlantic herring,1954,7.1
atlantic herring,1955,9.827
atlantic herring,1956,53.811
atlantic herring,1957,11.389
atlantic herring,1958,71.866
atlantic herring,1959,12.214
atlantic herring,1960,90.159
atlantic herring,1961,60.649
atlantic herring,1962,76.838
atlantic herring,1963,63.062
atlantic herring,1964,77.149
atlantic herring,1965,76.586
atlantic herring,1966,112.689
atlantic herring,1967,116.487
atlantic herring,1968,110.364
atlantic herring,1969,139.117
atlantic herring,1970,182.311
atlantic herring,1971,261.713
atlantic herring,1972,239.666
atlantic herring,1973,278.499
atlantic herring,1974,252.417
atlantic herring,1975,174.322
atlantic herring,1976,135.733
atlantic herring,1977,70.82
atlantic herring,1978,46.565
atlantic herring,1979,21.75
atlantic herring,1980,26.226
atlantic herring,1981,72.554
atlantic herring,1982,100.885
atlantic herring,1983,91.428
atlantic herring,1984,90.665
atlantic herring,1985,72.564
atlantic herring,1986,80.554
atlantic herring,1987,89.337
atlantic herring,1988,85.852
atlantic herring,1989,99.748
atlantic herring,1990,124.37
atlantic herring,1991,116.106
atlantic herring,1992,113.265
atlantic herring,1993,112.254
atlantic herring,1994,110.589
atlantic herring,1995,120.44
atlantic herring,1996,130.23
atlantic herring,1997,126.051
atlantic herring,1998,131.912
atlantic herring,1999,104.815
atlantic herring,2000,72.048
atlantic herring,2001,75.799
atlantic herring,2002,63.329
atlantic herring,2003,57.772
atlantic herring,2004,57.857
atlantic herring,2005,61.576
atlantic herring,2006,61.0685
atlantic herring,2007,57.56341
atlantic herring,2008,47.16092
atlantic herring,2009,39.1075
atlantic herring,2010,43.6572
atlantic herring,2011,42.5038
atlantic herring,2012,49.42797
atlantic herring,2013,47.87855
atlantic herring,2014,54.71276
atlantic herring,2015,44.547964
atlantic herring,2016,28.278768
atlantic herring,2017,20.01661
atlantic herring,2018,16.8980661
atlantic horse mackerel,1950,0
atlantic horse mackerel,1951,0
atlantic horse mackerel,1952,0
atlantic horse mackerel,1953,0
atlantic horse mackerel,1954,0
atlantic horse mackerel,1955,0
atlantic horse mackerel,1956,0
atlantic horse mackerel,1957,0
atlantic horse mackerel,1958,0.001
atlantic horse mackerel,1959,0
atlantic horse mackerel,1960,0
atlantic horse mackerel,1961,0
atlantic horse mackerel,1962,0.001
atlantic horse mackerel,1963,0.119
atlantic horse mackerel,1964,0.129
atlantic horse mackerel,1965,0.078
atlantic horse mackerel,1966,0.076
atlantic horse mackerel,1967,0.357
atlantic horse mackerel,1968,0.202
atlantic horse mackerel,1969,0.247
atlantic horse mackerel,1970,0.41
atlantic horse mackerel,1971,2.672
atlantic horse mackerel,1972,9.718
atlantic horse mackerel,1973,12.843
atlantic horse mackerel,1974,19.509
atlantic horse mackerel,1975,26.204
atlantic horse mackerel,1976,10.463
atlantic horse mackerel,1977,2.129
atlantic horse mackerel,1978,4.362
atlantic horse mackerel,1979,15.575
atlantic horse mackerel,1980,9.073
atlantic horse mackerel,1981,21.802
atlantic horse mackerel,1982,31.451
atlantic horse mackerel,1983,46.867
atlantic horse mackerel,1984,44.094
atlantic horse mackerel,1985,79.602
atlantic horse mackerel,1986,53.578
atlantic horse mackerel,1987,95.522
atlantic horse mackerel,1988,103.897
atlantic horse mackerel,1989,120.024
atlantic horse mackerel,1990,137.679
atlantic horse mackerel,1991,131.36
