type_var,year,typeTotal
Beam trawls,2009,120.330150492959
Beam trawls,2010,122.887098512
Beam trawls,2011,132.194885325
Beam trawls,2012,133.746502825313
Beam trawls,2013,132.217801036267
Beam trawls,2014,115.478853385166
Beam trawls,2015,110.213689708667
Beam trawls,2016,106.277595046667
Beam trawls,2017,99.2385226910001
Beam trawls,2018,103.81573643084
Beam trawls,2019,0.148116653
Bottom otter trawls,2009,736.682695360357
Bottom otter trawls,2010,724.775182314572
Bottom otter trawls,2011,722.086865873439
Bottom otter trawls,2012,740.673557162279
Bottom otter trawls,2013,712.426698876586
Bottom otter trawls,2014,718.506254677105
Bottom otter trawls,2015,721.068505706592
Bottom otter trawls,2016,733.780164476371
Bottom otter trawls,2017,754.345251779191
Bottom otter trawls,2018,693.284939881654
Bottom otter trawls,2019,1.03121545672
Bottom seines,2009,8.81597340392446
Bottom seines,2010,11.8952061840556
Bottom seines,2011,16.9672958562222
Bottom seines,2012,14.589623429
Bottom seines,2013,14.8582323483333
Bottom seines,2014,12.4788153926667
Bottom seines,2015,10.8240608001111
Bottom seines,2016,10.4879192182222
Bottom seines,2017,10.4304379814344
Bottom seines,2018,10.2742212287778
Bottom seines,2019,0.01319198
Dredges,2009,26.3249779498432
Dredges,2010,20.5837152756667
Dredges,2011,24.6789798756599
Dredges,2012,26.2156250466267
Dredges,2013,28.0539610779799
Dredges,2014,32.4502836308332
Dredges,2015,33.0677351630555
Dredges,2016,30.4469101314444
Dredges,2017,17.6575472922
Dredges,2018,26.7475124202489
Dredges,2019,0.00136820616
Pelagic trawls and seines,2009,158.297297900483
Pelagic trawls and seines,2010,208.716369969416
Pelagic trawls and seines,2011,174.518192856993
Pelagic trawls and seines,2012,206.506796355127
Pelagic trawls and seines,2013,206.875658318983
Pelagic trawls and seines,2014,188.515382382724
Pelagic trawls and seines,2015,178.787241023539
Pelagic trawls and seines,2016,180.264756797723
Pelagic trawls and seines,2017,135.753387735561
Pelagic trawls and seines,2018,147.763837770394
Static gears,2009,166.782701541758
Static gears,2010,153.569645481035
Static gears,2011,162.818934897694
Static gears,2012,141.225380832882
Static gears,2013,144.114025978305
Static gears,2014,142.395137890753
Static gears,2015,151.487682122954
Static gears,2016,176.483379255043
Static gears,2017,187.358365774625
Static gears,2018,161.550184752812
Static gears,2019,0.0562469892
other,2009,5.57712268100001
other,2010,3.85192651900001
other,2011,1.47054379733333
other,2012,1.26260202152
other,2013,1.0018481866
other,2014,2.439824718
other,2015,1.027437211
other,2016,3.009651332
other,2017,6.09124778600001
other,2018,0.134122883
